#Acceler	measurem	measurem	measurem	measurem	measurement 5 (?A)	Average	yerr
0	0.0634	0.0631	0.0631	0.0628	0.047	0.05988	0.007203263
1	0.0699	0.0573	0.057	0.0486	0.0635	0.05926	0.007965111
2	0.0628	0.0719	0.0629	0.0635	0.0551	0.06324	0.005950462
3	0.0512	0.0516	0.0511	0.053	0.053	0.05198	0.000949737
4	0.0553	0.0553	0.0629	0.0629	0.0524	0.05776	0.004839215
5	0.0488	0.0539	0.0685	0.0439	0.0506	0.05314	0.009316276
6	0.0596	0.0601	0.0636	0.0536	0.0556	0.0585	0.003943349
7	0.0442	0.0672	0.0681	0.0676	0.0674	0.0629	0.010458967
8	0.0573	0.0575	0.0578	0.0579	0.0674	0.05958	0.004378013
9	0.0541	0.0543	0.0637	0.0635	0.047	0.05652	0.007100845
10	0.0535	0.0534	0.0723	0.0612	0.0614	0.06036	0.007743578
11	0.0554	0.0556	0.0476	0.0648	0.0565	0.05598	0.006098524
12	0.0753	0.0607	0.0756	0.0647	0.0824	0.07174	0.008840984
13	0.0509	0.0657	0.0579	0.0581	0.0577	0.05806	0.005239084
14	0.0436	0.0431	0.0736	0.0583	0.058	0.05532	0.012618518
15	0.0523	0.0633	0.0558	0.0688	0.0691	0.06186	0.007595591
16	0.0671	0.0445	0.0448	0.0556	0.0551	0.05342	0.009335256
17	0.0544	0.0445	0.0582	0.0556	0.0551	0.05356	0.005264314
18	0.0517	0.0639	0.0636	0.0628	0.0442	0.05724	0.008894549
19	0.0554	0.0555	0.0555	0.0509	0.0513	0.05372	0.002396247
20	0.063	0.0474	0.0686	0.0557	0.0556	0.05806	0.008073909
21	0.0482	0.0487	0.0488	0.0592	0.0691	0.0548	0.009227947
22	0.0553	0.0548	0.0545	0.0544	0.0643	0.05666	0.004285207
23	0.0631	0.063	0.0636	0.0727	0.0562	0.06372	0.005875968
24	0.0702	0.0682	0.0677	0.068	0.0493	0.06468	0.008653728
25	0.0611	0.0611	0.0608	0.051	0.0595	0.0587	0.004354882
26	0.0389	0.0589	0.0464	0.0466	0.0467	0.0475	0.007186446
27	0.0547	0.0551	0.0515	0.0519	0.0516	0.05296	0.001782695
28	0.0689	0.0689	0.0686	0.0681	0.0682	0.06854	0.000378153
29	0.0582	0.0462	0.0465	0.0672	0.0544	0.0545	0.008773255
30	0.045	0.0711	0.0566	0.057	0.0638	0.0587	0.009679359
31	0.0604	0.0603	0.051	0.0512	0.0515	0.05488	0.004996699
